Transaction ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount
T005484,19.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,"70,000","70,000"
T005485,19.01.2025,PROD-007,USB-C Docking Station,Electronics,7,"340,000","2,380,000"
T006112,21.01.2025,PROD-004,Standing Desk Converter,Furniture,7,"500,000","3,500,000"
T006411,22.01.2025,PROD-007,USB-C Docking Station,Electronics,2,"340,000","680,000"
T006412,22.01.2025,PROD-004,Standing Desk Converter,Furniture,9,"500,000","4,500,000"
T006731,23.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,5,"380,000","1,900,000"
T007045,24.01.2025,PROD-004,Standing Desk Converter,Furniture,2,"500,000","1,000,000"
T007349,25.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,2,"380,000","760,000"
T007673,26.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,"380,000","2,280,000"
T008010,27.01.2025,PROD-010,Webcam 1080p HD,Electronics,3,"180,000","540,000"
T008011,27.01.2025,PROD-003,27-inch 4K Monitor,Electronics,5,"1,200,000","6,000,000"
T008297,28.01.2025,PROD-010,Webcam 1080p HD,Electronics,2,"180,000","360,000"
T008298,28.01.2025,PROD-003,27-inch 4K Monitor,Electronics,1,"1,200,000","1,200,000"
T008599,29.01.2025,PROD-004,Standing Desk Converter,Furniture,5,"500,000","2,500,000"
T008600,29.01.2025,PROD-004,Standing Desk Converter,Furniture,5,"500,000","2,500,000"
T008873,30.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,"900,000","8,100,000"
T008874,30.01.2025,PROD-003,27-inch 4K Monitor,Electronics,2,"1,200,000","2,400,000"
T008875,30.01.2025,PROD-003,27-inch 4K Monitor,Electronics,3,"1,200,000","3,600,000"
T009195,31.01.2025,PROD-004,Standing Desk Converter,Furniture,2,"500,000","1,000,000"
T009493,01.02.2025,PROD-010,Webcam 1080p HD,Electronics,10,"180,000","1,800,000"
T009494,01.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T009817,02.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,"900,000","1,800,000"
T009818,02.02.2025,PROD-004,Standing Desk Converter,Furniture,2,"500,000","1,000,000"
T009819,02.02.2025,PROD-004,Standing Desk Converter,Furniture,3,"500,000","1,500,000"
T011062,06.02.2025,PROD-010,Webcam 1080p HD,Electronics,1,"180,000","180,000"
T011063,06.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,"380,000","2,660,000"
T011364,07.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,"900,000","1,800,000"
T011658,08.02.2025,PROD-007,USB-C Docking Station,Electronics,10,"340,000","3,400,000"
T011659,08.02.2025,PROD-007,USB-C Docking Station,Electronics,9,"340,000","3,060,000"
T012272,10.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,"380,000","3,040,000"
T012563,11.02.2025,PROD-010,Webcam 1080p HD,Electronics,1,"180,000","180,000"
T012878,12.02.2025,PROD-007,USB-C Docking Station,Electronics,8,"340,000","2,720,000"
T012879,12.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,6,"900,000","5,400,000"
T012880,12.02.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,"70,000","140,000"
T012881,12.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,"195,000","195,000"
T013172,13.02.2025,PROD-004,Standing Desk Converter,Furniture,9,"500,000","4,500,000"
T013173,13.02.2025,PROD-007,USB-C Docking Station,Electronics,1,"340,000","340,000"
T013477,14.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T013478,14.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,10,"195,000","1,950,000"
T013479,14.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,7,"750,000","5,250,000"
T013480,14.02.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,"25,500","178,500"
T013481,14.02.2025,PROD-004,Standing Desk Converter,Furniture,9,"500,000","4,500,000"
T013789,15.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,"195,000","195,000"
T014069,16.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,"750,000","750,000"
T014381,17.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,"195,000","780,000"
T014653,18.02.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,6,"25,500","153,000"
T014968,19.02.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,"380,000","3,040,000"
T014969,19.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,"195,000","1,560,000"
T015278,20.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,"195,000","195,000"
T015279,20.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,"195,000","195,000"
T015280,20.02.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,"70,000","560,000"
T015410,21.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,2,"195,000","390,000"
T015552,22.02.2025,PROD-004,Standing Desk Converter,Furniture,4,"500,000","2,000,000"
T015553,22.02.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,"750,000","3,750,000"
T015715,23.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,"900,000","8,100,000"
T015845,24.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,"195,000","780,000"
T015846,24.02.2025,PROD-003,27-inch 4K Monitor,Electronics,10,"1,200,000","12,000,000"
T015847,24.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,"900,000","8,100,000"
T015987,25.02.2025,PROD-005,Noise-Cancelling Headphones,Electronics,3,"900,000","2,700,000"
T015988,25.02.2025,PROD-010,Webcam 1080p HD,Electronics,4,"180,000","720,000"
T015989,25.02.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,"70,000","70,000"
T016125,26.02.2025,PROD-009,Adjustable Monitor Arm,Furniture,7,"195,000","1,365,000"
T016126,26.02.2025,PROD-004,Standing Desk Converter,Furniture,7,"500,000","3,500,000"
T016127,26.02.2025,PROD-007,USB-C Docking Station,Electronics,2,"340,000","680,000"
T016272,27.02.2025,PROD-007,USB-C Docking Station,Electronics,5,"340,000","1,700,000"
T016432,28.02.2025,PROD-007,USB-C Docking Station,Electronics,1,"340,000","340,000"
T016433,28.02.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,"25,500","178,500"
T016434,28.02.2025,PROD-004,Standing Desk Converter,Furniture,8,"500,000","4,000,000"
T016590,01.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,"70,000","490,000"
T016591,01.03.2025,PROD-007,USB-C Docking Station,Electronics,2,"340,000","680,000"
T016592,01.03.2025,PROD-004,Standing Desk Converter,Furniture,10,"500,000","5,000,000"
T016593,01.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,1,"380,000","380,000"
T016594,01.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,5,"195,000","975,000"
T016595,01.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,"900,000","9,000,000"
T016738,02.03.2025,PROD-007,USB-C Docking Station,Electronics,1,"340,000","340,000"
T016739,02.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,"750,000","3,750,000"
T016884,03.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,6,"900,000","5,400,000"
T016885,03.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,2,"195,000","390,000"
T017038,04.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T017039,04.03.2025,PROD-003,27-inch 4K Monitor,Electronics,10,"1,200,000","12,000,000"
T017040,04.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,"70,000","700,000"
T017193,05.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,"195,000","1,755,000"
T017350,06.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,"70,000","490,000"
T017501,07.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,"195,000","1,755,000"
T017502,07.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,4,"900,000","3,600,000"
T017503,07.03.2025,PROD-003,27-inch 4K Monitor,Electronics,3,"1,200,000","3,600,000"
T017814,09.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,"900,000","9,000,000"
T017951,10.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,2,"750,000","1,500,000"
T018085,11.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,"70,000","630,000"
T018086,11.03.2025,PROD-004,Standing Desk Converter,Furniture,8,"500,000","4,000,000"
T018240,12.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,"70,000","140,000"
T018241,12.03.2025,PROD-003,27-inch 4K Monitor,Electronics,1,"1,200,000","1,200,000"
T018242,12.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,2,"195,000","390,000"
T018398,13.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T018399,13.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,"70,000","140,000"
T018550,14.03.2025,PROD-007,USB-C Docking Station,Electronics,9,"340,000","3,060,000"
T018864,16.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,"900,000","1,800,000"
T018865,16.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,"70,000","560,000"
T019015,17.03.2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,"900,000","7,200,000"
T019157,18.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,"750,000","750,000"
T019158,18.03.2025,PROD-004,Standing Desk Converter,Furniture,4,"500,000","2,000,000"
T019159,18.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,"70,000","280,000"
T019160,18.03.2025,PROD-007,USB-C Docking Station,Electronics,4,"340,000","1,360,000"
T019161,18.03.2025,PROD-010,Webcam 1080p HD,Electronics,9,"180,000","1,620,000"
T019292,19.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,"70,000","700,000"
T019293,19.03.2025,PROD-003,27-inch 4K Monitor,Electronics,8,"1,200,000","9,600,000"
T019294,19.03.2025,PROD-007,USB-C Docking Station,Electronics,3,"340,000","1,020,000"
T019436,20.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,"195,000","1,170,000"
T019437,20.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,"195,000","1,170,000"
T019570,21.03.2025,PROD-003,27-inch 4K Monitor,Electronics,6,"1,200,000","7,200,000"
T019571,21.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,"70,000","140,000"
T019572,21.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,"25,500","178,500"
T019703,22.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,"70,000","70,000"
T019857,23.03.2025,PROD-010,Webcam 1080p HD,Electronics,5,"180,000","900,000"
T019858,23.03.2025,PROD-007,USB-C Docking Station,Electronics,8,"340,000","2,720,000"
T019859,23.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,5,"380,000","1,900,000"
T020017,24.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,"70,000","280,000"
T020018,24.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,"750,000","3,750,000"
T020164,25.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,"380,000","2,660,000"
T020165,25.03.2025,PROD-004,Standing Desk Converter,Furniture,6,"500,000","3,000,000"
T020308,26.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,5,"750,000","3,750,000"
T020309,26.03.2025,PROD-009,Adjustable Monitor Arm,Furniture,5,"195,000","975,000"
T020457,27.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,5,"25,500","127,500"
T020618,28.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,7,"70,000","490,000"
T020619,28.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,"70,000","140,000"
T020774,29.03.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,4,"380,000","1,520,000"
T020948,30.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,2,"25,500","51,000"
T020949,30.03.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,3,"70,000","210,000"
T021081,31.03.2025,PROD-007,USB-C Docking Station,Electronics,4,"340,000","1,360,000"
T021082,31.03.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,8,"25,500","204,000"
T021083,31.03.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T021235,01.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,"70,000","140,000"
T021236,01.04.2025,PROD-003,27-inch 4K Monitor,Electronics,2,"1,200,000","2,400,000"
T021237,01.04.2025,PROD-010,Webcam 1080p HD,Electronics,4,"180,000","720,000"
T021378,02.04.2025,PROD-004,Standing Desk Converter,Furniture,7,"500,000","3,500,000"
T021537,03.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,4,"70,000","280,000"
T021538,03.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T021539,03.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,"380,000","2,280,000"
T021683,04.04.2025,PROD-007,USB-C Docking Station,Electronics,10,"340,000","3,400,000"
T021684,04.04.2025,PROD-003,27-inch 4K Monitor,Electronics,3,"1,200,000","3,600,000"
T021685,04.04.2025,PROD-004,Standing Desk Converter,Furniture,4,"500,000","2,000,000"
T021848,05.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,"195,000","1,560,000"
T022005,06.04.2025,PROD-003,27-inch 4K Monitor,Electronics,7,"1,200,000","8,400,000"
T022006,06.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T022128,07.04.2025,PROD-007,USB-C Docking Station,Electronics,5,"340,000","1,700,000"
T022129,07.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,"25,500","255,000"
T022266,08.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,9,"750,000","6,750,000"
T022267,08.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,"195,000","1,755,000"
T022416,09.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T022557,10.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T022809,12.04.2025,PROD-004,Standing Desk Converter,Furniture,8,"500,000","4,000,000"
T022810,12.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,1,"900,000","900,000"
T022922,13.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,"195,000","1,170,000"
T022923,13.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,6,"900,000","5,400,000"
T023029,14.04.2025,PROD-010,Webcam 1080p HD,Electronics,5,"180,000","900,000"
T023030,14.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,"900,000","4,500,000"
T023031,14.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,"380,000","2,280,000"
T023032,14.04.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T023239,16.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,"70,000","630,000"
T023240,16.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,4,"25,500","102,000"
T023466,18.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,"25,500","255,000"
T023467,18.04.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,5,"70,000","350,000"
T023547,19.04.2025,PROD-010,Webcam 1080p HD,Electronics,10,"180,000","1,800,000"
T023938,23.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,7,"195,000","1,365,000"
T024119,25.04.2025,PROD-004,Standing Desk Converter,Furniture,9,"500,000","4,500,000"
T024120,25.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,"195,000","1,170,000"
T024226,26.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,4,"25,500","102,000"
T024227,26.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T024321,27.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,3,"900,000","2,700,000"
T024423,28.04.2025,PROD-003,27-inch 4K Monitor,Electronics,3,"1,200,000","3,600,000"
T024424,28.04.2025,PROD-010,Webcam 1080p HD,Electronics,5,"180,000","900,000"
T024526,29.04.2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,"900,000","4,500,000"
T024527,29.04.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,2,"380,000","760,000"
T024528,29.04.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,2,"25,500","51,000"
T024621,30.04.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,"195,000","195,000"
T024622,30.04.2025,PROD-004,Standing Desk Converter,Furniture,10,"500,000","5,000,000"
T024708,01.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,6,"195,000","1,170,000"
T024709,01.05.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,2,"70,000","140,000"
T024808,02.05.2025,PROD-007,USB-C Docking Station,Electronics,8,"340,000","2,720,000"
T024912,03.05.2025,PROD-004,Standing Desk Converter,Furniture,10,"500,000","5,000,000"
T024913,03.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,4,"900,000","3,600,000"
T025013,04.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,"195,000","1,560,000"
T025107,05.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,"25,500","76,500"
T025108,05.05.2025,PROD-004,Standing Desk Converter,Furniture,10,"500,000","5,000,000"
T025109,05.05.2025,PROD-010,Webcam 1080p HD,Electronics,4,"180,000","720,000"
T025203,06.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,"195,000","1,560,000"
T025204,06.05.2025,PROD-004,Standing Desk Converter,Furniture,8,"500,000","4,000,000"
T025305,07.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,"380,000","2,660,000"
T025411,08.05.2025,PROD-003,27-inch 4K Monitor,Electronics,1,"1,200,000","1,200,000"
T025509,09.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,9,"900,000","8,100,000"
T025593,10.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,"380,000","3,040,000"
T025594,10.05.2025,PROD-003,27-inch 4K Monitor,Electronics,6,"1,200,000","7,200,000"
T025688,11.05.2025,PROD-007,USB-C Docking Station,Electronics,4,"340,000","1,360,000"
T025689,11.05.2025,PROD-004,Standing Desk Converter,Furniture,4,"500,000","2,000,000"
T025790,12.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,10,"195,000","1,950,000"
T025883,13.05.2025,PROD-003,27-inch 4K Monitor,Electronics,8,"1,200,000","9,600,000"
T025984,14.05.2025,PROD-007,USB-C Docking Station,Electronics,6,"340,000","2,040,000"
T025985,14.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,"750,000","750,000"
T025986,14.05.2025,PROD-010,Webcam 1080p HD,Electronics,6,"180,000","1,080,000"
T025987,14.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,2,"750,000","1,500,000"
T026208,16.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,"25,500","229,500"
T026295,17.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,5,"25,500","127,500"
T026296,17.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,"900,000","7,200,000"
T026492,19.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,7,"900,000","6,300,000"
T026493,19.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T026581,20.05.2025,PROD-010,Webcam 1080p HD,Electronics,6,"180,000","1,080,000"
T026673,21.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,6,"25,500","153,000"
T026674,21.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,"750,000","4,500,000"
T026675,21.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,"25,500","76,500"
T026769,22.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,"195,000","780,000"
T026770,22.05.2025,PROD-007,USB-C Docking Station,Electronics,2,"340,000","680,000"
T026882,23.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,"750,000","4,500,000"
T026883,23.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,1,"750,000","750,000"
T026996,24.05.2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,"900,000","9,000,000"
T026997,24.05.2025,PROD-007,USB-C Docking Station,Electronics,7,"340,000","2,380,000"
T026998,24.05.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,"70,000","700,000"
T026999,24.05.2025,PROD-001,Ergonomic Mesh Chair,Furniture,4,"750,000","3,000,000"
T027092,25.05.2025,PROD-004,Standing Desk Converter,Furniture,5,"500,000","2,500,000"
T027093,25.05.2025,PROD-010,Webcam 1080p HD,Electronics,5,"180,000","900,000"
T027181,26.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,1,"380,000","380,000"
T027274,27.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,4,"380,000","1,520,000"
T027381,28.05.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,"380,000","3,040,000"
T027382,28.05.2025,PROD-007,USB-C Docking Station,Electronics,1,"340,000","340,000"
T027383,28.05.2025,PROD-010,Webcam 1080p HD,Electronics,3,"180,000","540,000"
T027477,29.05.2025,PROD-004,Standing Desk Converter,Furniture,3,"500,000","1,500,000"
T027478,29.05.2025,PROD-003,27-inch 4K Monitor,Electronics,3,"1,200,000","3,600,000"
T027586,30.05.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,"25,500","25,500"
T027587,30.05.2025,PROD-007,USB-C Docking Station,Electronics,1,"340,000","340,000"
T027588,30.05.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,"195,000","780,000"
T027754,01.06.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T027825,02.06.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,2,"380,000","760,000"
T027826,02.06.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,4,"25,500","102,000"
T027827,02.06.2025,PROD-004,Standing Desk Converter,Furniture,6,"500,000","3,000,000"
T027828,02.06.2025,PROD-005,Noise-Cancelling Headphones,Electronics,3,"900,000","2,700,000"
T027829,02.06.2025,PROD-005,Noise-Cancelling Headphones,Electronics,2,"900,000","1,800,000"
T027915,03.06.2025,PROD-005,Noise-Cancelling Headphones,Electronics,10,"900,000","9,000,000"
T027916,03.06.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,"195,000","195,000"
T027917,03.06.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,"195,000","780,000"
T027918,03.06.2025,PROD-001,Ergonomic Mesh Chair,Furniture,3,"750,000","2,250,000"
T028065,05.06.2025,PROD-005,Noise-Cancelling Headphones,Electronics,3,"900,000","2,700,000"
T028066,05.06.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,"380,000","2,280,000"
T028152,06.06.2025,PROD-009,Adjustable Monitor Arm,Furniture,1,"195,000","195,000"
T028224,07.06.2025,PROD-001,Ergonomic Mesh Chair,Furniture,4,"750,000","3,000,000"
T028299,08.06.2025,PROD-004,Standing Desk Converter,Furniture,9,"500,000","4,500,000"
T028300,08.06.2025,PROD-001,Ergonomic Mesh Chair,Furniture,10,"750,000","7,500,000"
T028301,08.06.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,5,"70,000","350,000"
T028302,08.06.2025,PROD-009,Adjustable Monitor Arm,Furniture,5,"195,000","975,000"
T028303,08.06.2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,"900,000","4,500,000"
T028378,09.06.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T028379,09.06.2025,PROD-004,Standing Desk Converter,Furniture,1,"500,000","500,000"
T028460,10.06.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,2,"380,000","760,000"
T028461,10.06.2025,PROD-010,Webcam 1080p HD,Electronics,2,"180,000","360,000"
T028520,11.06.2025,PROD-004,Standing Desk Converter,Furniture,5,"500,000","2,500,000"
T028521,11.06.2025,PROD-009,Adjustable Monitor Arm,Furniture,8,"195,000","1,560,000"
T028522,11.06.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,7,"25,500","178,500"
